Date,DAM_Daily_Profit,IDM_Daily_Profit,DC_Daily_Profit
2024-01-01,879.71,366.47,806.7
2024-01-02,676.05,882.51,533.4
2024-01-03,549.2,310.23,448.3
2024-01-04,380.38,457.76,447.0
2024-01-05,207.77,199.37,408.6
2024-01-06,195.9,297.13,380.8
2024-01-07,334.7,294.36,448.0
2024-01-08,274.37,216.81,750.7
2024-01-09,348.36,254.32,842.9
2024-01-10,362.78,466.18,579.2
2024-01-11,381.1,241.73,505.9
2024-01-12,335.97,313.67,377.9
2024-01-13,172.1,199.19,274.9
2024-01-14,151.1,48.4,315.2
2024-01-15,366.7,189.85,674.9
2024-01-16,293.86,279.49,567.7
2024-01-17,293.61,331.52,774.7
2024-01-18,206.49,371.74,744.0
2024-01-19,191.69,286.92,350.7
2024-01-20,148.8,142.55,343.4
2024-01-21,379.42,282.72,467.5
2024-01-22,652.56,171.47,970.2
2024-01-23,446.6,660.28,638.4
2024-01-24,637.83,710.62,514.2
2024-01-25,147.91,182.91,427.8
2024-01-26,369.67,475.54,578.6
2024-01-27,219.89,328.54,435.2
2024-01-28,262.65,583.03,438.1
2024-01-29,319.72,161.5,572.2
2024-01-30,231.19,246.3,540.5
2024-01-31,130.55,180.57,407.7
2024-02-01,348.16,379.28,427.8
2024-02-02,267.85,302.23,394.9
2024-02-03,518.8,677.94,490.9
2024-02-04,745.16,852.73,532.8
2024-02-05,632.61,843.49,598.7
2024-02-06,711.24,903.02,515.8
2024-02-07,294.97,359.0,653.1
2024-02-08,100.66,279.86,443.2
2024-02-09,443.12,135.42,480.6
2024-02-10,223.18,119.66,419.8
2024-02-11,194.05,168.8,385.9
2024-02-12,166.68,208.99,479.7
2024-02-13,218.56,91.14,481.9
2024-02-14,142.95,68.03,419.2
2024-02-15,191.39,177.44,389.8
2024-02-16,152.23,179.08,377.0
2024-02-17,69.96,119.9,354.2
2024-02-18,188.04,157.71,431.0
2024-02-19,193.95,594.65,489.0
2024-02-20,141.02,209.09,463.7
2024-02-21,208.68,291.67,508.5
2024-02-22,358.67,506.21,524.5
2024-02-23,410.83,299.78,523.5
2024-02-24,129.51,196.42,361.3
2024-02-25,150.01,88.38,343.7
2024-02-26,210.14,161.56,553.6
2024-02-27,180.29,349.73,447.7
2024-02-28,156.81,244.57,540.5
2024-02-29,304.58,276.38,586.2
2024-03-01,123.88,302.99,521.9
2024-03-02,117.86,88.14,790.4
2024-03-03,204.05,123.38,463.7
2024-03-04,160.88,219.34,462.4
2024-03-05,266.49,322.77,555.2
2024-03-06,231.91,310.3,481.6
2024-03-07,158.84,172.6,731.8
2024-03-08,239.39,357.19,615.7
2024-03-09,297.46,380.57,656.3
2024-03-10,428.08,410.1,570.2
2024-03-11,303.7,412.9,527.7
2024-03-12,165.68,208.79,690.2
2024-03-13,226.37,322.02,1415.0
2024-03-14,181.54,342.97,774.4
2024-03-15,298.16,440.52,732.8
2024-03-16,108.26,62.7,438.7
2024-03-17,310.72,378.68,525.1
2024-03-18,187.76,266.78,569.0
2024-03-19,494.92,707.85,970.2
2024-03-20,336.57,396.56,673.3
2024-03-21,256.38,242.82,1055.0
2024-03-22,478.6,719.68,840.6
2024-03-23,652.22,802.4,812.5
2024-03-24,887.68,1057.03,845.8
2024-03-25,294.92,411.05,627.5
2024-03-26,257.39,262.39,965.4
2024-03-27,398.43,458.61,814.4
2024-03-28,365.05,339.75,925.4
2024-03-29,410.59,274.08,873.6
2024-03-30,249.95,192.32,622.7
2024-03-31,196.98,105.53,692.0
2024-04-01,257.63,569.1,693.4
2024-04-02,245.04,361.09,523.2
2024-04-03,245.81,141.59,813.8
2024-04-04,248.35,310.85,510.7
2024-04-05,500.35,612.61,1147.2
2024-04-06,519.96,819.81,1175.4
2024-04-07,549.31,1286.69,1396.2
2024-04-08,618.05,570.75,766.7
2024-04-09,396.24,359.21,1116.5
2024-04-10,478.07,808.4,1078.1
2024-04-11,779.47,733.33,870.4
2024-04-12,702.4,625.75,1124.8
2024-04-13,574.88,825.33,1155.8
2024-04-14,712.07,1311.36,941.1
2024-04-15,693.92,702.05,1402.9
2024-04-16,903.41,902.71,1407.0
2024-04-17,411.42,391.55,907.2
2024-04-18,218.83,566.03,1161.3
2024-04-19,656.06,820.37,1540.5
2024-04-20,301.63,386.2,918.4
2024-04-21,228.01,559.85,806.7
2024-04-22,231.8,429.84,886.4
2024-04-23,256.66,154.78,859.2
2024-04-24,319.94,249.43,738.2
2024-04-25,252.03,204.72,657.3
2024-04-26,261.7,260.28,628.5
2024-04-27,96.99,187.77,460.2
2024-04-28,375.24,525.06,745.6
2024-04-29,362.88,496.87,1102.1
2024-04-30,378.29,738.38,1015.7
2024-05-01,141.67,333.08,543.0
2024-05-02,255.98,498.89,750.4
2024-05-03,166.75,413.11,562.6
2024-05-04,264.43,304.52,578.6
2024-05-05,190.07,70.73,511.0
2024-05-06,179.0,283.53,518.7
2024-05-07,218.68,205.39,595.5
2024-05-08,235.54,125.67,587.5
2024-05-09,214.48,273.16,563.2
2024-05-10,214.22,186.29,567.7
2024-05-11,368.54,934.02,752.0
2024-05-12,487.62,1069.07,1052.5
2024-05-13,271.12,272.82,887.0
2024-05-14,487.36,207.47,911.4
2024-05-15,250.77,180.53,604.8
2024-05-16,212.13,157.08,612.2
2024-05-17,216.07,126.25,524.5
2024-05-18,195.98,128.35,699.2
2024-05-19,258.98,261.84,518.4
2024-05-20,245.72,276.82,563.2
2024-05-21,230.03,285.3,590.4
