Date,DAM_Daily_Profit,IDM_Daily_Profit,DC_Daily_Profit
2022-06-04,450.63,552.37,10538.9
2022-06-05,306.62,675.01,5500.2
2022-06-06,417.56,527.4,2645.8
2022-06-07,483.42,670.83,6291.8
2022-06-08,349.45,130.49,5433.6
2022-06-09,448.8,433.11,2186.6
2022-06-10,286.71,624.09,9446.4
2022-06-11,1360.89,1675.73,10230.4
2022-06-12,720.57,1087.13,7705.3
2022-06-13,551.49,797.74,4130.2
2022-06-14,549.61,905.41,6435.8
2022-06-15,598.94,1029.71,5285.8
2022-06-16,698.54,622.58,5199.4
2022-06-17,588.01,750.6,11702.4
2022-06-18,761.47,183.01,10968.0
2022-06-19,658.96,1208.12,10881.6
2022-06-20,978.82,1183.85,8222.7
2022-06-21,1307.35,1974.52,6032.0
2022-06-22,1262.88,876.5,8957.4
2022-06-23,1548.13,1090.46,4967.0
2022-06-24,745.98,557.21,6056.0
2022-06-25,717.54,1222.55,16013.4
2022-06-26,472.47,524.28,14940.5
2022-06-27,816.21,1863.03,13461.1
2022-06-28,352.26,482.74,8998.1
2022-06-29,1717.83,1283.5,10456.0
2022-06-30,1433.16,676.27,9563.8
2022-07-01,805.18,456.25,2876.5
2022-07-02,666.67,733.07,10713.0
2022-07-03,1091.09,349.56,12108.8
2022-07-04,915.59,897.41,13694.7
2022-07-05,1463.21,1750.41,6258.9
2022-07-06,590.35,1268.92,15180.2
2022-07-07,1123.33,1888.31,5589.1
2022-07-08,1050.88,1208.0,5283.5
2022-07-09,928.99,1194.26,12076.5
2022-07-10,1367.14,3314.85,9774.4
2022-07-11,1043.93,1516.1,2824.0
2022-07-12,1467.11,2199.66,3657.0
2022-07-13,1475.14,956.53,9716.8
2022-07-14,1057.91,1038.04,4763.5
2022-07-15,1114.25,876.33,5758.4
2022-07-16,1041.52,937.55,3220.8
2022-07-17,1276.06,924.61,3414.4
2022-07-18,3482.77,3955.02,4086.4
2022-07-19,2333.92,2480.26,4649.9
2022-07-20,1372.57,1487.37,1945.9
2022-07-21,2830.63,930.35,4325.1
2022-07-22,1263.82,1083.3,3164.2
2022-07-23,731.47,794.82,10751.4
2022-07-24,1034.57,631.0,6439.4
2022-07-25,1184.55,816.97,4538.2
2022-07-26,1136.48,1970.96,6189.4
2022-07-27,1135.81,565.35,7426.6
2022-07-28,1284.15,781.72,3091.5
2022-07-29,931.17,911.61,2363.8
2022-07-30,744.35,1713.09,4745.6
2022-07-31,1114.26,921.07,3361.9
2022-08-01,1233.04,1377.11,3708.5
2022-08-02,735.32,688.14,10805.8
2022-08-03,1414.58,1602.0,6058.9
2022-08-04,1246.62,1371.5,4892.2
2022-08-05,957.14,1513.35,5027.8
2022-08-06,1134.97,946.78,7316.2
2022-08-07,1207.91,1341.03,8155.5
2022-08-08,1571.25,1231.53,1553.6
2022-08-09,1181.44,1122.74,989.4
2022-08-10,1273.36,1850.71,4445.8
2022-08-11,1210.03,2403.15,1542.4
2022-08-12,1224.17,1346.87,2303.4
2022-08-13,884.3,1085.65,1712.6
2022-08-14,986.09,1392.08,4543.4
2022-08-15,1206.14,1063.29,906.9
2022-08-16,1438.18,1989.3,2299.2
2022-08-17,2142.9,2483.16,2380.5
2022-08-18,2109.12,480.2,1748.5
2022-08-19,1665.49,1593.39,2488.6
2022-08-20,948.26,900.69,6287.0
2022-08-21,1658.93,1816.61,1390.7
2022-08-22,2332.06,799.59,3156.2
2022-08-23,2486.97,2525.89,4424.6
2022-08-24,3188.56,1826.98,9520.6
2022-08-25,1444.99,1952.62,6299.2
2022-08-26,2118.46,1449.57,11019.2
2022-08-27,1109.26,1125.65,1348.8
2022-08-28,1701.54,1610.84,4483.2
2022-08-29,2111.53,1628.37,3037.1
2022-08-30,2357.71,1117.04,3967.7
2022-08-31,1761.9,2153.06,4861.8
2022-09-01,2185.83,3269.91,3141.4
2022-09-02,2159.6,1099.45,2358.4
2022-09-03,1243.26,544.64,1778.2
2022-09-04,1326.08,1384.71,6705.0
2022-09-05,1882.59,2318.52,1191.4
2022-09-06,1912.07,1615.8,3265.0
2022-09-07,2184.86,1540.31,3180.8
2022-09-08,2520.69,1404.24,1173.8
2022-09-09,1738.37,1054.55,2721.9
2022-09-10,1233.27,1225.19,1821.4
2022-09-11,1329.65,716.04,2025.6
2022-09-12,1731.29,1469.65,1792.3
2022-09-13,1559.68,1428.15,2205.1
2022-09-14,1581.52,2230.26,3303.4
2022-09-15,1044.4,864.19,3210.2
2022-09-16,1085.94,2053.93,6778.9
2022-09-17,1271.55,923.75,3525.4
2022-09-18,1321.17,803.69,1616.0
2022-09-19,1691.77,1744.7,13538.9
2022-09-20,2447.39,1714.54,1356.2
2022-09-21,1225.83,1389.23,8740.2
2022-09-22,1640.91,2126.5,2351.4
2022-09-23,1494.88,1766.84,5993.3
2022-09-24,893.07,1019.96,2265.6
2022-09-25,828.62,672.12,5814.4
2022-09-26,2178.06,2523.13,2689.0
2022-09-27,1380.2,1961.71,3906.6
2022-09-28,1256.16,2292.05,1902.4
2022-09-29,2492.64,2272.9,6400.0
2022-09-30,672.07,631.28,2557.1
2022-10-01,1722.57,2230.44,6414.7
2022-10-02,2222.1,1985.41,1376.0
2022-10-03,1223.18,1232.1,2339.8
2022-10-04,1153.23,447.24,1485.4
2022-10-05,1246.14,1689.15,3629.1
2022-10-06,1207.62,2085.42,6544.3
2022-10-07,1663.22,3658.54,3867.2
2022-10-08,1470.56,1296.86,3996.2
2022-10-09,2085.8,1602.7,3798.1
