config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_days
3,50,50,down_75%,-75.0,2234.4548,2363.2839,997.2981,1560.3473,1945.7768,2016.234,0.6646,0.7224,0.4759,366
3,50,50,down_70%,-70.0,2234.4548,2363.2839,1196.8071,1560.3473,1945.7768,2016.1852,0.6646,0.7224,0.4759,366
3,50,50,down_65%,-65.0,2234.4548,2363.2839,1396.3161,1560.3473,1945.7768,2016.138,0.6646,0.7224,0.4759,366
3,50,50,down_60%,-60.0,2234.4548,2363.2839,1595.7257,1560.3473,1945.7768,2016.0923,0.6646,0.7224,0.4759,366
3,50,50,down_55%,-55.0,2234.4548,2363.2839,1795.2344,1560.3473,1945.7768,2016.0481,0.6646,0.7225,0.4759,366
3,50,50,down_50%,-50.0,2234.4548,2363.2839,1994.6437,1560.3473,1945.7768,2016.0055,0.6646,0.7225,0.4759,366
3,50,50,down_45%,-45.0,2234.4548,2363.2839,2194.1527,1560.3473,1945.7768,2015.9643,0.6646,0.7225,0.4759,366
3,50,50,down_40%,-40.0,2234.4548,2363.2839,2393.6617,1560.3473,1945.7768,2015.9245,0.6646,0.7225,0.4759,366
3,50,50,down_35%,-35.0,2234.4548,2363.2839,2593.071,1560.3473,1945.7768,2015.8864,0.6646,0.7225,0.4759,366
3,50,50,down_30%,-30.0,2234.4548,2363.2839,2792.4806,1560.3473,1945.7768,2015.8497,0.6646,0.7225,0.4759,366
3,50,50,down_25%,-25.0,2234.4548,2363.2839,2991.9893,1560.3473,1945.7768,2015.8145,0.6646,0.7225,0.4759,366
3,50,50,down_20%,-20.0,2234.4548,2363.2839,3191.4984,1560.3473,1945.7768,2015.7808,0.6646,0.7225,0.4759,366
3,50,50,down_15%,-15.0,2234.4548,2363.2839,3391.0074,1560.3473,1945.7768,2015.7486,0.6646,0.7225,0.4759,366
3,50,50,down_10%,-10.0,2234.4548,2363.2839,3590.3172,1560.3473,1945.7768,2015.7179,0.6646,0.7225,0.4759,366
3,50,50,down_5%,-5.0,2234.4548,2363.2839,3789.8262,1560.3473,1945.7768,2015.6887,0.6646,0.7225,0.4759,366
3,50,50,up_5%,5.0,2234.4548,2363.2839,4188.844,1560.3473,1945.7768,2015.6348,0.6646,0.7225,0.4759,366
3,50,50,up_10%,10.0,2234.4548,2363.2839,4388.3527,1560.3473,1945.7768,2015.6101,0.6646,0.7225,0.4759,366
3,50,50,up_15%,15.0,2234.4548,2363.2839,4587.6628,1560.3473,1945.7768,2015.5869,0.6646,0.7225,0.4759,366
3,50,50,up_20%,20.0,2234.4548,2363.2839,4787.1719,1560.3473,1945.7768,2015.5651,0.6646,0.7225,0.4759,366
3,50,50,up_25%,25.0,2234.4548,2363.2839,4986.6806,1560.3473,1945.7768,2015.545,0.6646,0.7225,0.4759,366
3,50,50,up_30%,30.0,2234.4548,2363.2839,5186.1893,1560.3473,1945.7768,2015.5263,0.6646,0.7225,0.4759,366
4,100,100,base_case,0.0,4468.9094,4726.5683,7978.6702,3120.6948,3891.5533,4031.322,0.6646,0.7225,0.4759,366
4,100,100,down_80%,-80.0,4468.9094,4726.5683,1595.6784,3120.6948,3891.5533,4032.5683,0.6646,0.7224,0.4759,366
4,100,100,down_75%,-75.0,4468.9094,4726.5683,1994.6964,3120.6948,3891.5533,4032.4679,0.6646,0.7224,0.4759,366
4,100,100,down_70%,-70.0,4468.9094,4726.5683,2393.515,3120.6948,3891.5533,4032.3707,0.6646,0.7224,0.4759,366
4,100,100,down_65%,-65.0,4468.9094,4726.5683,2792.5331,3120.6948,3891.5533,4032.2762,0.6646,0.7224,0.4759,366
4,100,100,down_60%,-60.0,4468.9094,4726.5683,3191.4514,3120.6948,3891.5533,4032.1848,0.6646,0.7224,0.4759,366
4,100,100,down_55%,-55.0,4468.9094,4726.5683,3590.3697,3120.6948,3891.5533,4032.0965,0.6646,0.7225,0.4759,366
4,100,100,down_50%,-50.0,4468.9094,4726.5683,3989.3872,3120.6948,3891.5533,4032.0109,0.6646,0.7225,0.4759,366
4,100,100,down_45%,-45.0,4468.9094,4726.5683,4388.3055,3120.6948,3891.5533,4031.9286,0.6646,0.7225,0.4759,366
4,100,100,down_40%,-40.0,4468.9094,4726.5683,4787.2238,3120.6948,3891.5533,4031.8492,0.6646,0.7225,0.4759,366
