config_id,power_mw,energy_mwh,Duration,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2024_idm_weight,updated_2024_dc_weight,updated_2024_expected_return,updated_2024_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk
1,10,10,1,0.573,0,0.427,2443.267,2405.664,0.138,0.862,1535.757,1258.725,0.139,0.861,1537.514,1258.07,0.095,0.905,1626.349,1307.333
2,30,30,1,0.573,0,0.427,7329.803,7216.995,0.138,0.862,4607.28,3776.181,0.139,0.861,4612.542,3774.214,0.095,0.905,4879.048,3922.004
3,50,50,1,0.573,0,0.427,12216.337,12028.326,0.138,0.862,7678.802,6293.64,0.139,0.861,7687.571,6290.361,0.095,0.905,8131.747,6536.677
4,100,100,1,0.573,0,0.427,24432.674,24056.651,0.138,0.862,15357.605,12587.276,0.139,0.861,15375.148,12580.72,0.095,0.905,16263.493,13073.35
5,10,15,1.5,0.584,0,0.416,2714.566,2556.277,0.14,0.86,1500.668,1226.502,0.14,0.86,1505.043,1226.365,0.095,0.905,1596.629,1282.027
6,50,75,1.5,0.584,0,0.416,13572.833,12781.388,0.14,0.86,7503.329,6132.507,0.14,0.86,7525.199,6131.822,0.095,0.905,7983.132,6410.134
7,100,150,1.5,0.584,0,0.416,27145.666,25562.776,0.14,0.86,15006.659,12265.012,0.14,0.86,15050.393,12263.638,0.095,0.905,15966.26,12820.264
8,10,20,2,0.499,0.012,0.489,3147.93,2785.516,0.141,0.859,1819.639,1482.752,0.14,0.86,1827.913,1483.117,0.095,0.905,1942.682,1558.534
9,30,60,2,0.499,0.012,0.489,9443.792,8356.55,0.141,0.859,5458.917,4448.248,0.14,0.86,5483.735,4449.34,0.095,0.905,5828.042,4675.591
10,50,100,2,0.499,0.012,0.489,15739.651,13927.583,0.141,0.859,9098.196,7413.751,0.14,0.86,9139.559,7415.571,0.095,0.905,9713.404,7792.656
11,100,200,2,0.499,0.012,0.489,31479.301,27855.167,0.141,0.859,18196.394,14827.506,0.14,0.86,18279.118,14831.145,0.095,0.905,19426.805,15585.316
12,200,400,2,0.499,0.012,0.489,62958.603,55710.334,0.141,0.859,36392.792,29655.015,0.14,0.86,36558.236,29662.293,0.095,0.905,38853.616,31170.636
13,300,600,2,0.499,0.012,0.489,94437.904,83565.501,0.141,0.859,54589.181,44482.52,0.14,0.86,54837.349,44493.438,0.095,0.905,58280.415,46755.951
14,400,800,2,0.499,0.012,0.489,125917.205,111420.668,0.141,0.859,72785.577,59310.027,0.14,0.86,73116.466,59324.584,0.095,0.905,77707.223,62341.268
15,5,15,3,0,0,1,2057.378,1555.985,0.142,0.858,1830.544,1484.501,0.142,0.858,1841.827,1484.741,0.096,0.904,1960.535,1965.048
16,10,30,3,0,0,1,4114.749,3111.97,0.142,0.858,3661.096,2969.009,0.142,0.858,3683.664,2969.49,0.096,0.904,3921.077,3930.096
17,15,60,4,0.002,0,0.998,6170.989,5301.475,0.144,0.856,5517.583,4459.635,0.143,0.857,5561.065,4461.499,0.098,0.902,5919.804,6944.245
