Date,DAM_Daily_Profit,IDM_Daily_Profit,DC_Daily_Profit
2023-01-01,1856.66,2322.98,953.9
2023-01-02,982.6,1535.35,1096.0
2023-01-03,484.73,244.14,781.1
2023-01-04,1531.11,1984.62,1505.3
2023-01-05,994.48,459.41,607.4
2023-01-06,1032.45,818.23,2473.6
2023-01-07,889.02,1795.81,1048.3
2023-01-08,1709.96,1751.27,922.2
2023-01-09,1034.33,1492.82,839.0
2023-01-10,736.95,713.17,878.7
2023-01-11,1430.4,1865.85,1153.3
2023-01-12,1121.07,1697.79,3275.8
2023-01-13,1520.4,1713.68,1355.5
2023-01-14,1289.49,1291.42,2380.5
2023-01-15,2103.12,2182.63,2130.9
2023-01-16,714.96,467.44,2530.6
2023-01-17,488.41,736.8,1585.9
2023-01-18,411.86,461.7,1901.4
2023-01-19,518.43,679.3,1126.7
2023-01-20,462.01,655.41,1641.0
2023-01-21,256.38,603.77,644.5
2023-01-22,768.88,0.0,917.1
2023-01-23,981.81,1331.23,2016.0
2023-01-24,619.82,688.71,1672.0
2023-01-25,389.18,1065.46,1356.8
2023-01-26,385.86,487.98,682.2
2023-01-27,464.97,296.62,1330.2
2023-01-28,454.96,1581.49,462.7
2023-01-29,184.2,356.92,1024.3
2023-01-30,1431.83,771.81,1228.8
2023-01-31,664.96,853.67,1901.8
2023-02-01,824.19,1053.42,1180.2
2023-02-02,505.0,800.4,1577.0
2023-02-03,795.12,982.32,1073.0
2023-02-04,215.77,315.03,824.6
2023-02-05,727.01,1275.37,1610.9
2023-02-06,556.42,588.06,2091.2
2023-02-07,902.36,805.45,2841.6
2023-02-08,323.61,448.14,1059.2
2023-02-09,395.81,661.38,1725.8
2023-02-10,388.07,419.32,597.8
2023-02-11,343.38,953.15,659.2
2023-02-12,376.4,471.5,575.7
2023-02-13,462.88,531.51,756.8
2023-02-14,471.21,372.32,1846.1
2023-02-15,372.04,282.66,720.6
2023-02-16,300.45,324.04,621.8
2023-02-17,1000.14,842.05,985.0
2023-02-18,772.32,1081.74,633.6
2023-02-19,444.91,548.06,794.6
2023-02-20,774.98,859.6,690.9
2023-02-21,321.39,233.66,713.9
2023-02-22,242.4,391.34,1022.4
2023-02-23,300.25,373.41,746.9
2023-02-24,251.64,490.96,564.8
2023-02-25,325.69,504.69,1036.2
2023-02-26,407.02,472.01,791.0
2023-02-27,444.59,754.94,1276.2
2023-02-28,363.5,307.38,2237.8
2023-03-01,410.21,421.92,873.9
2023-03-02,413.93,527.48,651.2
2023-03-03,390.47,504.12,1962.6
2023-03-04,300.06,657.12,580.5
2023-03-05,441.91,690.32,536.3
2023-03-06,459.05,313.46,614.7
2023-03-07,630.13,3773.82,1152.3
2023-03-08,407.0,444.33,758.4
2023-03-09,268.31,425.3,685.4
2023-03-10,431.91,917.43,753.9
2023-03-11,276.08,268.24,607.4
2023-03-12,724.4,750.52,1150.7
2023-03-13,1264.99,1644.83,1012.5
2023-03-14,1189.35,522.65,1195.2
2023-03-15,371.45,443.19,767.0
2023-03-16,477.25,530.46,833.3
2023-03-17,361.57,410.42,1329.9
2023-03-18,287.41,352.29,618.2
2023-03-19,580.91,603.28,1448.0
2023-03-20,497.53,477.24,854.4
2023-03-21,358.43,483.8,1465.3
2023-03-22,756.3,828.51,1282.6
2023-03-23,810.29,1376.32,1049.6
2023-03-24,819.02,1069.74,1236.5
2023-03-25,1258.34,1715.01,892.5
2023-03-26,409.67,580.62,1789.4
2023-03-27,374.76,653.17,2472.6
2023-03-28,315.57,487.74,1418.9
2023-03-29,353.94,256.44,4220.5
2023-03-30,549.88,257.23,1644.8
2023-03-31,293.96,194.54,2023.7
2023-04-01,307.03,574.65,2047.4
2023-04-02,450.49,442.83,2009.3
2023-04-03,483.34,523.34,1644.5
2023-04-04,498.01,759.4,1779.2
2023-04-05,420.55,643.92,1777.9
2023-04-06,260.84,600.3,2082.2
2023-04-07,333.43,202.07,1406.1
2023-04-08,358.07,456.22,1317.1
2023-04-09,414.79,506.06,1502.7
2023-04-10,488.97,1187.41,1350.4
2023-04-11,914.85,1370.39,1267.5
2023-04-12,693.03,475.62,1399.7
2023-04-13,740.27,492.84,1456.0
2023-04-14,273.53,310.69,1794.9
2023-04-15,203.41,148.64,1603.2
2023-04-16,274.08,488.89,1586.2
2023-04-17,506.41,676.85,1621.1
2023-04-18,307.24,149.63,2022.4
2023-04-19,332.71,576.33,2437.4
2023-04-20,337.51,565.75,1980.2
2023-04-21,385.95,463.85,1478.7
2023-04-22,256.55,400.7,1468.5
2023-04-23,225.12,262.39,1043.2
2023-04-24,381.67,319.97,1021.4
2023-04-25,372.13,302.72,852.8
2023-04-26,406.13,490.63,1052.8
2023-04-27,260.48,315.6,1615.4
2023-04-28,235.12,464.99,1052.8
