config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk,updated_2022_idm_weight,updated_2022_dc_weight,updated_2022_expected_return,updated_2022_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk
1,10,10,0.5,3.3306690738754696e-16,5.551115123125783e-17,0.9999999999999996,797.8674863387976,403.13060986632905,1.0,0.0,881.188301369863,1703.8548689836218,1.0,0.0,928.5916986301369,1088.8689178534928,1.1102230246251565e-16,0.9999999999999999,798.4468493150684,403.5335738747977
1,10,10,1.0,5.551115123125783e-17,0.0,0.9999999999999998,797.8674863387978,403.1306098663291,1.0,0.0,881.188301369863,1703.8548689836218,0.9999999999999998,2.220446049250313e-16,928.5916986301369,1088.8689178534926,0.0,1.0,798.4468493150684,403.5335738747977
1,10,10,2.0,0.12278061444654362,4.718447854656915e-16,0.8772193855534559,754.7743857410189,394.29578841723844,0.9893323879503926,0.010667612049607457,772.2212960565641,1488.4705219061666,0.8840624689009866,0.11593753109901343,801.34251192042,911.9599100179767,0.0,1.0,700.4120547945206,353.9879330956913
1,10,10,3.0,0.2039875929239367,1.0297752234267321e-15,0.7960124070760622,726.2726510938808,389.261324722966,0.8262233648891442,0.17377663511085578,689.9917058815009,1273.7873465563348,0.7560424901161816,0.24395750988381837,713.8977035642382,790.6358712169456,0.15335581425995276,0.8466441857400473,587.5715576323905,313.8720859200972
1,10,10,4.5,0.25833301030988276,6.862999751833243e-17,0.7416669896901171,707.1986910147803,386.5752479363198,0.7174854121820865,0.2825145878179135,636.2116755573905,1150.5467416919116,0.6706953126670538,0.3293046873329461,656.9203109842325,719.1014654956793,0.2689028662428363,0.7310971337571637,513.7563038671435,288.4730362845728
1,10,10,6.0,0.2855057182644947,2.1033522146218786e-17,0.7144942817355052,697.6617112343771,385.53753915261717,0.6631132040589202,0.33688679594107984,609.6869174314008,1095.319170925116,0.6280190969774417,0.3719809030225583,628.8827702634819,686.3939225505842,0.32667972081917523,0.6733202791808248,478.69760057861816,276.4772881425457
1,10,10,7.0,0.2971511647292936,0.0,0.7028488352707065,693.5744341159514,385.1691290176554,0.6398089047587745,0.36019109524122556,598.3957538704794,1072.9634754123222,0.6097312148835645,0.39026878511643553,616.9610517169679,673.0133501879202,0.3514382233676713,0.6485617766323287,464.0551329521612,271.4805935944839
1,10,10,8.0,0.30409593284983966,0.008547230642581134,0.6873568365075792,688.3573319076966,384.7628775532352,0.6223356567962038,0.3776643432037962,591.4767586431849,1059.4404891209501,0.5960155633627603,0.4039844366372397,609.6228242314075,664.9369452365247,0.370006995752533,0.6299930042474671,454.38809515919434,268.4787366489765
1,10,10,9.0,0.2996094941704344,0.062439504804726854,0.6379510010248388,672.4056124981764,383.58566096829594,0.6087410484265755,0.39125895157342455,594.500765529451,1064.2336483433683,0.5853471456142688,0.41465285438573124,612.5788733459256,668.2296288357115,0.38445102948974424,0.6155489705102558,453.3370996708237,269.9830817785834
1,10,10,10.0,0.2960051475876059,0.10551678889407452,0.5984780635183196,659.6614519391183,382.6865909335821,0.5978671112326888,0.4021328887673112,596.9274894505767,1068.2415879663758,0.5768126636902235,0.42318733630977645,614.9504474035463,670.9516251125133,0.3960075513587072,0.6039924486412929,452.4721582779429,271.21561618336796
2,30,30,0.5,3.3306690738754696e-16,0.0,0.9999999999999996,2393.599726775956,1209.3944000744473,0.9999999999999999,1.1102230246251565e-16,2643.565287671233,5111.56546291142,0.9999999999999998,2.220446049250313e-16,2785.775315068493,3266.60695498465,0.0,1.0,2395.337808219178,1210.5978921048927
2,30,30,1.0,0.0,0.0,1.0,2393.5997267759562,1209.3944000744473,1.0,0.0,2643.565287671233,5111.56546291142,1.0,0.0,2785.775315068493,3266.6069549846507,0.0,1.0,2395.337808219178,1210.5978921048927
2,30,30,2.0,0.12278584699198657,0.0,0.8772141530080136,2264.3152039955994,1182.8886133241274,0.9893357597583978,0.010664240241602126,2316.6509450144504,4465.391799295001,0.8840616644417782,0.11593833555822172,2404.0125534621775,2735.862421504736,1.1102230246251565e-16,0.9999999999999999,2101.221917808219,1061.955420264043
2,30,30,3.0,0.20399241973061766,0.0,0.796007580269383,2178.8106180816594,1167.7852540279855,0.8262252567674669,0.17377474323253306,2069.961954481224,3821.3425274861293,0.7560415760649777,0.24395842393502232,2141.678297749445,2371.8921158287476,0.15335589483496243,0.8466441051650375,1762.697946015709,941.6138824354729
2,30,30,4.5,0.25833746394243184,7.513521055324546e-17,0.7416625360575683,2121.589258466325,1159.7270736090684,0.717482724715707,0.2825172752842931,1908.6231381030343,3451.61395684926,0.6706940656101372,0.3293059343898628,1970.7485071167864,2157.290797825383,0.26890485781008017,0.7310951421899199,1541.2582462923137,865.425773415541
2,30,30,6.0,0.28550998593933286,0.0,0.7144900140606671,2092.978578773434,1156.613971143667,0.663112624546466,0.33688737545353403,1829.0521521555424,3285.936172794347,0.6280203001942785,0.37197969980572154,1886.6397972638542,2059.1730069588343,0.32667884754403975,0.6733211524559602,1436.0902307461317,829.4276571592866
2,30,30,7.0,0.29715535227051004,0.0,0.70284464772949,2080.7168591566206,1155.5087500366733,0.6398098995962579,0.3601901004037421,1795.1760114240442,3218.873332764588,0.6097318475784472,0.3902681524215527,1850.8718920607605,2019.0283703540103,0.35143875917868517,0.6485612408213148,1392.155345416398,814.4297758813742
