config_id,power_mw,energy_mwh,Duration,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk,updated_2022_idm_weight,updated_2022_dc_weight,updated_2022_expected_return,updated_2022_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk
1,10,10,1,0.2039875929239367,1.0297752234267321e-15,0.7960124070760622,726.2726510938808,389.261324722966,0.8271649512076842,0.17283504879231576,765.7569893545001,1436.2533387297544,0.7571442064923888,0.24285579350761116,762.4764703841983,870.2162913833201,0.151783214564718,0.848216785435282,591.8376488929486,314.29073929341484
2,30,30,1,0.20399241973061766,0.0,0.796007580269383,2178.8106180816594,1167.7852540279855,0.827166784264584,0.172833215735416,2297.2570559579362,4308.73857623064,0.7571432606870805,0.24285673931291946,2287.413168075474,2610.6326045055284,0.15178333742974384,0.8482166625702562,1775.4961523222482,942.8697781240228
3,50,50,1,0.2039954024546437,0.0,0.7960045975453567,3631.3474929497665,1946.3109700897628,0.8271660027203455,0.17283399727965454,3828.747547946761,7181.201137638857,0.7571424005402837,0.2428575994597163,3812.341162562315,4351.034335652593,0.15178491337912264,0.8482150866208774,2959.1501451244194,1571.4389589449552
4,100,100,1,0.20399549832386987,3.5063098258181213e-16,0.7960045016761298,7262.694816746271,3892.621824410988,0.8271661522276547,0.17283384777234537,7657.493070115424,14362.401900339106,0.7571425683513663,0.24285743164863371,7624.67996293705,8702.069838928543,0.15178379817281845,0.8482162018271815,5918.296220745301,3142.886145141464
5,10,15,1.5,0.0,0.28467018207056166,0.7153298179294386,764.7789177266906,528.1827661534984,0.8263166941029857,0.17368330589701433,1270.2101571370883,2430.8168859308726,0.7577898260326265,0.24221017396737354,1291.0743265703295,1508.3077812165834,0.1510052513807888,0.8489947486192112,773.1365198864601,403.24543538334046
6,50,75,1.5,1.9129472557253161e-16,0.2846675658243031,0.7153324341756968,3823.894513446822,2640.9148932091757,0.8263175874255038,0.17368241257449624,6351.053559859685,12154.090657476258,0.7577895031679592,0.24221049683204077,6455.371679681857,7541.535902215701,0.15100689024740174,0.8489931097525982,3865.680749267545,2016.22332217568
7,100,150,1.5,0.0,0.28466748059581143,0.7153325194041888,7647.789290293098,5281.829650852969,0.8263176012837439,0.17368239871625615,12702.107155868149,24308.18148009498,0.7577895186977852,0.24221048130221473,12910.743672009306,15083.071610599618,0.1510068216736589,0.8489931783263411,7731.361817113923,4032.4465811460636
8,10,20,2,0.7557175970134471,0.24428240298655296,1.5612511283791264e-17,855.0989050379939,642.2696604027193,0.8258034738044718,0.1741965261955281,380.4113301683847,737.6569345580903,0.758271738201934,0.24172826179806595,394.16285068828506,465.48971713227496,0.8493529945614408,0.15064700543855924,199.34982173866297,126.29967444696308
9,30,60,2,0.755722788587795,0.24427721141220507,2.6020852139652106e-17,2565.296600408116,1926.806444538722,0.8258023064941125,0.17419769350588757,1141.2083822159957,2212.922042590681,0.7582785202852331,0.24172147971476682,1182.4681442220738,1396.4489837158062,0.8493352949328901,0.15066470506710988,598.0359246895898,378.8903653879785
10,50,100,2,0.7557217692800252,0.24427823071997484,0.0,4275.494898265036,3211.3452490353616,0.8258018082544332,0.17419819174556683,1902.0223648516248,3688.2177743308366,0.7582767797536969,0.2417232202463031,1970.7879666494055,2327.42075566603,0.8493376062177254,0.1506623937822747,996.731731725897,631.4865280087147
11,100,200,2,0.755721982281677,0.24427801771832303,0.0,8550.989445307638,6422.690063512764,0.8257996381616028,0.1742003618383971,3804.0352392885097,7376.418896137924,0.758276320302876,0.24172367969712405,3941.569461567231,4654.834738271797,0.8493396756710117,0.15066032432898832,1993.4609750932434,1262.972356076994
12,200,400,2,0.7557220087664404,0.2442779912335597,1.734723475976807e-18,17101.97904616222,12845.379752975117,0.8257991525835645,0.1742008474164355,7608.069356106025,14752.831855702618,0.7582767709565252,0.2417232290434747,7883.142135285252,9309.67374183088,0.8493384372693941,0.15066156273060594,3986.9222516103655,2525.944117997984
13,300,600,2,0.7557218740487897,0.24427812595121023,8.673617379884035e-18,25652.968511138097,19268.070437839895,0.825799454685692,0.17420054531430798,11412.112479250132,22129.26408175469,0.7582768638850225,0.24172313611497753,11824.721103039858,13964.518860041382,0.8493381935908147,0.15066180640918525,5980.387113260532,3788.918048387898
14,400,800,2,0.7557219268030207,0.24427807319697925,3.469446951953614e-17,34203.95800471139,25690.759727182965,0.8257994720842606,0.1742005279157394,15216.146221038598,29505.679701904795,0.7582765904965751,0.24172340950342486,15766.287919418573,18619.349919087483,0.8493381626763924,0.1506618373236076,7973.847094219661,5051.889945121735
15,5,15,3,0.9999999999999999,1.1102230246251565e-16,2.7755575615628914e-17,594.1501912568306,440.7503568603956,,,,,,,,,,,,
16,10,30,3,1.0,5.551115123125783e-17,1.3877787807814457e-17,1188.3009289617482,881.5005042668417,,,,,,,,,,,,
17,15,60,4,0.9903030753867084,2.0816681711721685e-17,0.009696924613291635,2181.049320217916,1677.5629359983286,0.8239827931568656,0.17601720684313438,33.48628186387902,65.545368689398,0.7626821730565996,0.23731782694340042,37.72707485935945,41.35097830962403,0.8488417416029809,0.15115825839701913,19.005166898005907,13.441138422454113
