Date,IDM_Daily_Profit
2023-01-01,590.83
2023-01-02,400.42
2023-01-03,241.05
2023-01-04,395.3
2023-01-05,312.66
2023-01-06,315.74
2023-01-07,263.55
2023-01-08,436.3
2023-01-09,355.06
2023-01-10,250.19
2023-01-11,379.2
2023-01-12,351.56
2023-01-13,420.42
2023-01-14,390.56
2023-01-15,555.55
2023-01-16,326.82
2023-01-17,229.85
2023-01-18,171.29
2023-01-19,191.88
2023-01-20,190.32
2023-01-21,144.08
2023-01-22,244.51
2023-01-23,316.74
2023-01-24,253.44
2023-01-25,183.52
2023-01-26,167.61
2023-01-27,184.02
2023-01-28,182.93
2023-01-29,119.62
2023-01-30,348.72
2023-01-31,260.4
2023-02-01,265.89
2023-02-02,206.17
2023-02-03,248.85
2023-02-04,148.17
2023-02-05,230.22
2023-02-06,217.65
2023-02-07,293.16
2023-02-08,162.3
2023-02-09,160.24
2023-02-10,160.21
2023-02-11,148.32
2023-02-12,158.59
2023-02-13,176.44
2023-02-14,165.14
2023-02-15,157.59
2023-02-16,141.49
2023-02-17,263.83
2023-02-18,246.07
2023-02-19,187.36
2023-02-20,237.28
2023-02-21,166.8
2023-02-22,127.05
2023-02-23,132.19
2023-02-24,123.15
2023-02-25,138.75
2023-02-26,163.24
2023-02-27,174.94
2023-02-28,154.91
2023-03-01,163.05
2023-03-02,164.36
2023-03-03,157.28
2023-03-04,138.22
2023-03-05,168.2
2023-03-06,149.98
2023-03-07,206.33
2023-03-08,175.13
2023-03-09,130.01
2023-03-10,148.89
2023-03-11,135.0
2023-03-12,218.31
2023-03-13,334.74
2023-03-14,352.97
2023-03-15,207.73
2023-03-16,180.87
2023-03-17,144.33
2023-03-18,129.64
2023-03-19,188.48
2023-03-20,184.83
2023-03-21,140.31
2023-03-22,209.82
2023-03-23,242.33
2023-03-24,249.76
2023-03-25,340.8
2023-03-27,153.19
2023-03-28,126.7
2023-03-29,129.01
2023-03-30,164.39
2023-03-31,129.42
2023-04-01,127.95
2023-04-02,159.06
2023-04-03,161.21
2023-04-04,160.87
2023-04-05,160.15
2023-04-06,123.86
2023-04-07,129.51
2023-04-08,136.25
2023-04-09,140.15
2023-04-10,157.62
2023-04-11,238.43
2023-04-12,223.08
2023-04-13,229.82
2023-04-14,133.19
2023-04-15,99.34
2023-04-16,113.91
2023-04-17,139.28
2023-04-18,128.08
2023-04-19,122.27
2023-04-20,126.14
2023-04-21,137.56
2023-04-22,114.88
2023-04-23,105.3
2023-04-24,125.42
2023-04-25,136.59
2023-04-26,148.08
2023-04-27,110.95
2023-04-28,101.06
2023-04-29,109.48
2023-04-30,104.89
2023-05-01,95.91
2023-05-02,121.15
2023-05-03,96.69
2023-05-04,124.71
2023-05-05,108.08
2023-05-06,92.29
2023-05-07,91.04
2023-05-08,88.55
2023-05-09,78.81
2023-05-10,108.26
2023-05-11,102.87
2023-05-12,93.57
2023-05-13,93.66
2023-05-14,107.17
2023-05-15,93.91
2023-05-16,103.46
2023-05-17,108.58
2023-05-18,106.08
2023-05-19,93.79
2023-05-20,94.6
2023-05-21,80.4
2023-05-22,85.43
2023-05-23,100.87
2023-05-24,98.87
2023-05-25,98.75
2023-05-26,87.86
2023-05-27,143.21
2023-05-28,171.57
2023-05-29,180.43
2023-05-30,119.25
2023-05-31,99.0
2023-06-01,102.87
2023-06-02,105.39
2023-06-03,128.92
2023-06-04,121.77
2023-06-05,119.59
2023-06-06,108.14
2023-06-07,101.52
2023-06-08,88.98
2023-06-09,95.28
2023-06-10,157.87
2023-06-11,113.26
2023-06-12,92.85
2023-06-13,98.78
2023-06-14,109.11
2023-06-15,135.91
2023-06-16,145.83
2023-06-17,125.21
2023-06-18,120.62
2023-06-19,152.44
2023-06-20,172.54
2023-06-21,179.37
2023-06-22,170.41
2023-06-23,140.56
2023-06-24,146.67
2023-06-25,230.66
2023-06-26,139.56
2023-06-27,114.85
2023-06-28,122.02
2023-06-29,130.04
2023-06-30,91.01
2023-07-01,179.59
2023-07-02,335.59
2023-07-03,236.9
2023-07-04,190.29
2023-07-05,143.58
2023-07-06,121.65
2023-07-07,123.71
2023-07-08,165.17
2023-07-09,141.46
2023-07-10,134.32
2023-07-11,137.72
2023-07-12,129.07
2023-07-13,135.44
2023-07-14,74.57
2023-07-15,164.61
2023-07-16,301.58
2023-07-17,188.14
2023-07-18,178.81
2023-07-19,153.5
2023-07-20,145.42
2023-07-21,114.44
2023-07-22,98.62
2023-07-23,189.13
2023-07-24,121.87
2023-07-25,111.29
2023-07-26,108.39
2023-07-27,110.67
2023-07-28,91.51
2023-07-29,147.2
2023-07-30,163.08
2023-07-31,135.69
2023-08-01,141.8
2023-08-02,90.51
2023-08-03,120.34
2023-08-04,122.58
2023-08-05,91.07
2023-08-06,118.37
2023-08-07,115.94
2023-08-08,111.51
2023-08-09,150.98
2023-08-10,119.56
2023-08-11,126.83
2023-08-12,172.19
2023-08-13,161.93
2023-08-14,126.05
2023-08-15,125.46
2023-08-16,126.39
2023-08-17,104.83
2023-08-18,95.47
2023-08-19,190.07
2023-08-20,145.8
2023-08-21,138.53
2023-08-22,155.56
2023-08-23,210.66
2023-08-24,269.94
2023-08-25,181.52
2023-08-26,134.63
2023-08-27,120.46
2023-08-28,126.83
2023-08-29,139.74
2023-08-30,144.02
2023-08-31,127.45
2023-09-01,112.79
2023-09-02,107.76
2023-09-03,162.83
