config_id,power_mw,energy_mwh,dam_mean,idm_mean,dc_mean,dam_variance,idm_variance,dc_variance,corr_dam_idm,corr_dam_dc,corr_idm_dc,cov_dam_idm,cov_dam_dc,cov_idm_dc,num_days
1,10,10,1196.563,1149.2658,4114.749,1986769.1797,883363.0667,9684356.5375,0.5408,0.0669,0.0451,716447.3873,293354.7709,131832.2696,365
2,30,30,3589.6889,3447.7975,12344.2534,17880921.3034,7950265.7743,87159299.4715,0.5408,0.0669,0.0451,6448027.6463,2640196.3722,1186508.4449,365
3,50,50,5982.815,5746.3295,20573.7512,49669217.2167,22084068.0891,242109184.5766,0.5408,0.0669,0.0451,17911187.6234,7333843.0908,3295830.5118,365
4,100,100,11965.6299,11492.6588,41147.5025,198676879.6416,88336274.2629,968436738.3065,0.5408,0.0669,0.0451,71644743.6002,29335381.54,13183329.4547,365
5,10,15,1718.8806,1637.2897,4114.749,3889986.3922,1865659.609,9684356.5375,0.5487,0.0672,0.0434,1478258.9688,412434.1416,184378.189,365
6,50,75,8594.4029,8186.4487,20573.7512,97249680.9577,46641478.3981,242109184.5766,0.5487,0.0672,0.0434,36956475.0734,10310816.9028,4609438.7663,365
7,100,150,17188.8062,16372.8975,41147.5025,388998702.5709,186565922.2039,968436738.3065,0.5487,0.0672,0.0434,147825912.6757,41243274.386,18437732.0891,365
8,10,20,2224.0199,2106.9625,4114.749,6301889.0781,3192696.0439,9684356.5375,0.5534,0.0671,0.0414,2482112.221,524395.3835,230278.0571,365
9,30,60,6672.0604,6320.8882,12344.2534,56717006.4875,28734264.102,87159299.4715,0.5534,0.0671,0.0414,22339011.0565,4719560.7059,2072522.1068,365
10,50,100,11120.1012,10534.8136,20573.7512,157547241.692,79817400.5809,242109184.5766,0.5534,0.0671,0.0414,62052809.5565,13109841.7137,5756944.9063,365
11,100,200,22240.2016,21069.6276,41147.5025,630188977.8987,319269596.0266,968436738.3065,0.5534,0.0671,0.0414,248211257.9731,52439384.6016,23027785.1177,365
12,200,400,44480.4035,42139.2553,82295.0049,2520755932.4312,1277078385.5279,3873746953.226,0.5534,0.0671,0.0414,992845009.1398,209757534.885,92111142.7099,365
13,300,600,66720.6055,63208.8832,123442.5074,5671700799.2012,2873426368.3649,8715930644.7585,0.5534,0.0671,0.0414,2233901275.0856,471954437.7703,207250089.1816,365
14,400,800,88960.8073,84278.5104,164590.0099,10083023608.9011,5108313503.4851,15494987812.9041,0.5534,0.0671,0.0414,3971379960.865,839030143.8526,368444588.9187,365
15,5,15,1539.1302,1452.4484,2057.3778,2685832.3575,1569948.9935,2421090.6837,0.555,0.0664,0.0365,1139646.5839,169229.9119,71071.0156,365
16,10,30,3078.2607,2904.8975,4114.749,10743331.4991,6279793.366,9684356.5375,0.555,0.0664,0.0365,4558586.5667,676903.7993,284267.4701,365
17,15,60,5627.8681,5327.3164,6172.1266,31875771.254,21543118.164,21789842.8823,0.5623,0.0665,0.0356,14734734.1082,1753480.0709,771176.6691,365
