config_id,power_mw,energy_mwh,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk,updated_2022_idm_weight,updated_2022_dc_weight,updated_2022_expected_return,updated_2022_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk
1,10,10,0.2039875929239367,1.0297752234267321e-15,0.7960124070760622,726.2726510938808,389.261324722966,0.8324407116927608,0.16755928830723918,707.2740998419711,1197.6175250199185,0.8319821909291928,0.16801780907080716,867.9103130945864,715.7271557659901,0.13358678898959947,0.8664132110104006,615.1528095790338,350.4016608010399
5,10,15,0.0,0.28467018207056166,0.7153298179294386,764.7789177266906,528.1827661534984,0.8306686553176104,0.16933134468238964,1191.6159104299682,2083.5664648054053,0.8312655418789423,0.1687344581210577,1495.7480277766333,1292.3602054191565,0.8675246095531879,0.1324753904468122,857.479712357791,621.8141377812244
8,10,20,0.7557175970134471,0.24428240298655296,1.5612511283791264e-17,855.0989050379939,642.2696604027193,0.8296542766057031,0.17034572339429682,361.1492929057087,644.9548817990902,0.830758911642912,0.16924108835708795,460.59633902988844,410.5571773412392,0.867895348288875,0.13210465171112493,262.3971917468713,195.44196697702918
