config_id,power_mw,energy_mwh,dam_mean,idm_mean,dc_mean,dam_variance,idm_variance,dc_variance,corr_dam_idm,corr_dam_dc,corr_idm_dc,cov_dam_idm,cov_dam_dc,cov_idm_dc,num_days
1,10,10,526.2169,606.3917,1138.4622,100481.3541,195683.6527,412952.5222,0.7499,0.2316,0.2119,105153.5823,47179.6467,60239.7733,365
2,30,30,1578.6506,1819.1753,3415.3847,904332.346,1761152.5482,3716547.768,0.7499,0.2316,0.2119,946381.9168,424608.302,542155.2213,365
3,50,50,2631.0845,3031.9587,5692.309,2512034.7544,4892091.12,10323759.695,0.7499,0.2316,0.2119,2628838.8502,1179474.9288,1505990.5488,365
4,100,100,5262.1688,6063.9181,11384.6181,10048140.0932,19568358.1259,41295038.78,0.7499,0.2316,0.2119,10515356.1115,4717900.7456,6023958.2405,365
5,10,15,761.4547,866.4943,1138.4622,217058.2029,402662.9767,412952.5222,0.7698,0.2357,0.2153,227573.952,70562.1543,87797.3788,365
6,50,75,3807.2733,4332.473,5692.309,5426457.3745,10066584.9141,10323759.695,0.7698,0.2357,0.2153,5689353.2669,1764025.3602,2194929.6948,365
7,100,150,7614.5467,8664.9461,11384.6181,21705827.0877,40266345.6097,41295038.78,0.7698,0.2357,0.2153,22757414.0878,7056103.7054,8779719.554,365
8,10,20,989.6454,1116.122,1138.4622,375705.017,677539.907,412952.5222,0.7808,0.238,0.2181,393917.2446,93742.6729,115379.3917,365
9,30,60,2968.9364,3348.3663,3415.3847,3381348.3012,6097857.4567,3716547.768,0.7808,0.238,0.2181,3545257.4883,843667.1895,1038405.6104,365
10,50,100,4948.2273,5580.6105,5692.309,9392634.8746,16938489.0693,10323759.695,0.7808,0.238,0.2181,9847937.2269,2343532.8554,2884468.6829,365
11,100,200,9896.4542,11161.2213,11384.6181,37570543.3581,67753963.5967,41295038.78,0.7808,0.238,0.2181,39391748.9363,9374133.9687,11537874.9189,365
12,200,400,19792.9089,22322.4422,22769.2362,150282163.2488,271015840.5515,165180155.12,0.7808,0.238,0.2181,157566984.7545,37496524.7549,46151499.1976,365
13,300,600,29689.3631,33483.6637,34153.8542,338134876.6963,609785659.9915,371655349.02,0.7808,0.238,0.2181,354525728.6416,84367189.0791,103840883.2343,365
14,400,800,39585.8179,44644.8845,45538.4723,601128666.0135,1084063368.1247,660720620.48,0.7808,0.238,0.2181,630267952.6734,149986108.1378,184606006.0666,365
15,5,15,690.8741,771.4804,569.2301,193514.1116,344383.317,103236.6439,0.7972,0.2422,0.2253,205790.5717,34235.5762,42481.1964,365
16,10,30,1381.7481,1542.9613,1138.4622,774057.4551,1377533.5159,412952.5222,0.7972,0.2422,0.2253,823163.1368,136948.9882,169929.2817,365
17,15,60,2545.141,2840.0663,1707.6923,2834267.8562,5029358.2855,929135.1727,0.8074,0.2475,0.2302,3048186.5938,401647.0164,497657.9628,365
