config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,num_trading_days,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc
1,10,10,0.5,0.0,0.0,1.0,1435.6596685082875,738.5394419135486,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,1.0,0.0,0.0,1.0,1435.6596685082875,738.5394419135486,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,2.0,5.551115123125783e-17,4.996003610813204e-16,0.9999999999999993,1435.6596685082868,738.5394419135484,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,3.0,0.0,1.1102230246251565e-16,1.0,1435.6596685082875,738.5394419135486,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,4.5,0.0,6.106226635438361e-16,1.0,1435.6596685082873,738.5394419135486,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,6.0,1.2773680261529149e-14,0.008648041215684191,0.991351958784303,1428.571467797573,737.4625383326718,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,7.0,0.0,0.0287960006198631,0.9712039993801391,1412.0575802470808,735.1329356322112,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,8.0,0.0,0.043906969644153186,0.9560930303558757,1399.6721650176742,733.5660870474221,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,9.0,0.0,0.055659947234588114,0.9443400527654168,1390.0390629045119,732.4644948187206,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
1,10,10,10.0,5.84039823405058e-14,0.06506232842154022,0.9349376715784014,1382.3325819396382,731.6619433689622,181,590.0980110497238,616.0288950276243,1435.6596685082875,544.1683425062708,875.0125174462712,622.7433941644384,0.3522184053890448,0.830336541673624,0.3557083839676432
2,30,30,0.5,0.0,0.0,1.0,4306.97955801105,2215.6173295088183,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,1.0,5.551115123125783e-17,5.551115123125783e-17,0.9999999999999998,4306.97955801105,2215.6173295088183,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,2.0,1.6653345369377348e-16,0.0,1.0,4306.97955801105,2215.617329508819,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,3.0,0.0,7.216449660063518e-16,0.9999999999999993,4306.9795580110485,2215.6173295088183,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,4.5,5.551115123125783e-17,0.0,1.0,4306.97955801105,2215.617329508819,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,6.0,2.8347925320870828e-14,0.008643785595617478,0.9913562144043541,4285.725425721054,2212.3882294565765,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,7.0,0.0,0.028791906080141184,0.9712080939198947,4236.1833803483205,2205.399336495424,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,8.0,0.0,0.04390299488761547,0.9560970051124263,4199.026850144516,2200.6987308714647,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,9.0,0.0,0.05565606422700093,0.9443439357730005,4170.127325996302,2197.393910822592,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
2,30,30,10.0,0.0,0.06505851939056304,0.9349414806094771,4147.007707435056,2194.986223796051,181,1770.2928729281768,1848.087900552486,4306.97955801105,1632.50505240754,2625.038128513144,1868.2343733149112,0.35221858416876106,0.8303339167634092,0.35570303455174174
3,50,50,0.5,0.0,3.3306690738754696e-16,0.9999999999999998,7178.298342541436,3692.695433372505,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,1.0,3.3306690738754696e-16,6.106226635438361e-16,0.9999999999999989,7178.298342541432,3692.6954333725043,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,2.0,0.0,3.885780586188048e-16,0.9999999999999996,7178.298342541435,3692.6954333725043,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,3.0,0.0,0.0,1.0,7178.298342541437,3692.695433372505,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,4.5,0.0,0.0,1.0,7178.298342541437,3692.695433372505,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,6.0,3.282094184572749e-14,0.008644834844150122,0.9913551651558169,7142.870494475366,3687.3129342399043,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,7.0,0.0,0.028792914040103923,0.9712070859599028,7060.300601418792,3675.6648063863827,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,8.0,1.0878760780988685e-14,0.043903973761462656,0.9560960262385265,6998.373180296764,3667.8304818795646,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,9.0,0.0,0.055657021391846875,0.9443429786081613,6950.207403475467,3662.322461391827,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
3,50,50,10.0,0.0,0.06505945799886087,0.9349405420011901,6911.674788154629,3658.309659918847,181,2950.488950276243,3080.1462430939223,7178.298342541437,2720.841022694495,4375.063047171908,3113.7218396152925,0.35221853733612096,0.8303353012447887,0.3557048099989274
4,100,100,0.5,0.0,2.220446049250313e-16,1.0,14356.596685082874,7385.391104846293,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,1.0,0.0,0.0,1.0,14356.596685082874,7385.391104846293,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,2.0,0.0,1.6653345369377348e-16,0.9999999999999998,14356.596685082872,7385.391104846293,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,3.0,0.0,6.106226635438361e-16,0.9999999999999996,14356.59668508287,7385.391104846292,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,4.5,2.220446049250313e-16,1.609823385706477e-15,0.999999999999998,14356.596685082857,7385.3911048462915,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,6.0,0.0,0.008644889237386478,0.9913551107626474,14285.740538829124,7374.62603850132,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,7.0,0.0,0.028792968321280442,0.9712070316787461,14120.600743615712,7351.329785490042,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,8.0,0.0,0.043904026388128764,0.9560959736118909,13996.745907418834,7335.661140184582,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,9.0,0.0,0.05565707192985865,0.9443429280701578,13900.414365051274,7324.645102623603,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
4,100,100,10.0,2.935021954399498e-14,0.0650595076544072,0.9349404923455635,13823.349136966734,7316.619501513933,181,5900.977569060773,6160.291988950276,14356.596685082874,5441.6822789329535,8750.12621795178,6227.443679230585,0.35221869045877885,0.8303354037569227,0.35570484834255206
5,10,15,0.5,0.0,0.0,1.0,1435.6596685082875,1185.114860898213,181,863.1719337016574,887.6062983425414,1435.6596685082875,814.0777539380348,1274.9662344915037,622.7433941644384,0.3532097067500444,0.8285275638689472,0.35483008020883655
5,10,15,1.0,0.0,0.0,1.0,1435.6596685082875,1185.114860898213,181,863.1719337016574,887.6062983425414,1435.6596685082875,814.0777539380348,1274.9662344915037,622.7433941644384,0.3532097067500444,0.8285275638689472,0.35483008020883655
5,10,15,2.0,0.0,0.13203479205824833,0.8679652079417518,1363.2975557416312,1135.1865816928166,181,863.1719337016574,887.6062983425414,1435.6596685082875,814.0777539380348,1274.9662344915037,622.7433941644384,0.3532097067500444,0.8285275638689472,0.35483008020883655
5,10,15,3.0,0.0,0.22099807095357038,0.7790019290464298,1314.5409309220547,1108.76494044522,181,863.1719337016574,887.6062983425414,1435.6596685082875,814.0777539380348,1274.9662344915037,622.7433941644384,0.3532097067500444,0.8285275638689472,0.35483008020883655
5,10,15,4.5,0.0,0.28044976885850326,0.7195502311414967,1281.9582275231803,1095.8231567650766,181,863.1719337016574,887.6062983425414,1435.6596685082875,814.0777539380348,1274.9662344915037,622.7433941644384,0.3532097067500444,0.8285275638689472,0.35483008020883655
5,10,15,6.0,0.24431715064183385,0.2401080701688268,0.5155747791893394,1164.199059302915,1059.370803163825,181,863.1719337016574,887.6062983425414,1435.6596685082875,814.0777539380348,1274.9662344915037,622.7433941644384,0.3532097067500444,0.8285275638689472,0.35483008020883655
