config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,num_trading_days,num_2024_days,num_2025_days,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc
1,10,10,0.5,0.0,0.0,1.0,1011.5829090909093,571.1711921531233,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,1.0,2.220446049250313e-16,5.551115123125783e-17,0.9999999999999996,1011.5829090909091,571.1711921531233,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,2.0,2.220446049250313e-16,0.0,1.0,1011.5829090909092,571.1711921531233,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,3.0,0.03738527697390333,3.3039977004323262e-15,0.9626147230260934,992.1855880412195,566.3695223724447,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,4.5,0.10895774840721362,0.0,0.8910422515927865,955.0502684960252,558.0438021271574,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,6.0,0.14474398610037265,0.0,0.8552560138996301,936.4826076979207,554.5614010839196,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,7.0,0.16008094428642267,0.0,0.8399190557135782,928.5250392126545,553.2718771914654,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,8.0,0.1715836637569605,0.0,0.8284163362430412,922.5568624175419,552.401198268258,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,9.0,0.18053022233896318,0.0,0.8194697776610371,917.9149476545161,551.7872602234182,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
1,10,10,10.0,0.18768746996869298,2.3071822230491534e-15,0.8123125300313048,914.2014154476278,551.3389777391016,550,369,181,492.73370909090903,518.9245454545454,1011.5829090909093,409.002216331843,597.929591500581,571.1711921531233,0.4626996597499546,0.7366165366496437,0.3888077025837489
2,30,30,0.5,0.0,0.0,1.0,3034.7465454545454,1713.5166313298937,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,1.0,3.3306690738754696e-16,0.0,1.0,3034.7465454545454,1713.5166313298937,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,2.0,2.220446049250313e-16,0.0,1.0,3034.7465454545454,1713.5166313298937,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,3.0,0.037389022520768325,0.0,0.9626109774792326,2976.5488106463335,1699.110126006098,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,4.5,0.10896103726127836,2.929947950924827e-15,0.8910389627387189,2865.1436747874277,1674.1331364040861,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,6.0,0.14474704405756217,0.0,0.8552529559424412,2809.441107751398,1663.6860311728763,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,7.0,0.16008390517814697,9.194034422677078e-17,0.839916094821853,2785.568577363889,1659.8175009339934,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,8.0,0.1715865499086911,1.5508427875232655e-15,0.8284134500913074,2767.664181300859,1657.205494687981,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,9.0,0.1805330522648096,5.377642775528102e-16,0.8194669477351899,2753.738538519126,1655.3637028138498,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
2,30,30,10.0,0.1876902527944801,1.2385925618474403e-15,0.8123097472055186,2742.598026403207,1654.0188726465783,550,369,181,1478.2005090909092,1556.7743454545453,3034.7465454545454,1227.0068075904585,1793.788883073912,1713.5166313298937,0.46269971557042083,0.7366156292300023,0.38880444938938025
3,50,50,0.5,0.0,0.0,1.0,5057.912363636363,2855.861586746102,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,1.0,2.220446049250313e-16,0.0,1.0,5057.912363636363,2855.861586746102,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,2.0,2.220446049250313e-16,0.0,0.9999999999999998,5057.912363636362,2855.861586746102,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,3.0,0.03738967210003288,0.0,0.9626103278999677,4960.914412773956,2831.8503062155246,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,4.5,0.10896160078982363,0.0,0.891038399210177,4775.2393310667285,2790.222031722872,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,6.0,0.14474756313911377,0.0,0.8552524368608878,4682.401795390204,2772.8102140592127,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,7.0,0.16008440528228152,0.0,0.8399155947177186,4642.614277152346,2766.362674045358,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,8.0,0.17158703624083355,0.0,0.8284129637591671,4612.773640157163,2762.009337658703,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,9.0,0.18053352731371702,0.0,0.8194664726862834,4589.564254978368,2758.9396901961463,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
3,50,50,10.0,0.18769072008617735,0.0,0.8123092799138228,4570.996747058038,2756.698310485595,550,369,181,2463.6678727272724,2594.6238363636367,5057.912363636363,2045.0109698208994,2989.647933648611,2855.861586746102,0.46269970607228844,0.7366156508423175,0.3888048054763133
4,100,100,0.5,1.6653345369377348e-16,0.0,0.9999999999999998,10115.824909090908,5711.723071564784,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,1.0,0.0,0.0,1.0,10115.82490909091,5711.723071564784,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,2.0,1.1102230246251565e-16,0.0,1.0,10115.82490909091,5711.723071564784,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,3.0,0.03738965649553894,0.0,0.9626103435044635,9921.829071334549,5663.70053480682,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,4.5,0.10896158799255674,0.0,0.8910384120074459,9550.478860822132,5580.443987117792,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,6.0,0.1447475517788175,2.2633850718274365e-15,0.8552524482211802,9364.803765747005,5545.620351114285,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,7.0,0.16008439423186982,2.4043267377038546e-15,0.8399156057681277,9285.22872069217,5532.725270811098,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,8.0,0.1715870261478802,0.0,0.8284129738521205,9225.547436505585,5524.018597206331,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,9.0,0.1805335177755066,1.1570605584765303e-15,0.8194664822244923,9179.128659203121,5517.8793017905855,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
4,100,100,10.0,0.18769071058449285,0.0,0.8123092894155072,9141.993639919685,5513.3965422343035,550,369,181,4927.335472727274,5189.247818181818,10115.82490909091,4090.0220798654545,5979.295784654908,5711.723071564784,0.46269975322655066,0.736615707818166,0.38880466071000813
5,10,15,0.5,0.0,5.551115123125783e-17,0.9999999999999998,1011.5829090909093,798.5578547197855,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,1.0,0.0,0.0,1.0,1011.5829090909093,798.5578547197855,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
5,10,15,2.0,0.0,0.046672965248282905,0.953327034751719,999.2856596205853,790.149285152519,550,369,181,717.7340181818181,748.1059818181819,1011.5829090909093,608.8884829156802,874.5338952405598,571.1711921531233,0.4652530660987102,0.7360805391151303,0.3862530820321217
