registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,7.3,2025-03-04T07:00:00,2025-03-04T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,8.78,2025-03-04T15:00:00,2025-03-04T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,8.8,2025-03-04T11:00:00,2025-03-04T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3.32,2025-03-04T11:00:00,2025-03-04T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.22,2025-03-04T07:00:00,2025-03-04T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.1,2025-03-04T23:00:00,2025-03-05T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,5.69,2025-03-04T23:00:00,2025-03-05T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.8,2025-03-07T23:00:00,2025-03-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.74,2025-03-07T23:00:00,2025-03-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.18,2025-03-08T23:00:00,2025-03-09T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.34,2025-03-08T23:00:00,2025-03-09T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,5.54,2025-03-10T23:00:00,2025-03-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,4.49,2025-03-10T23:00:00,2025-03-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.58,2025-03-11T23:00:00,2025-03-12T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.17,2025-03-11T23:00:00,2025-03-12T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.3,2025-03-12T23:00:00,2025-03-13T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.69,2025-03-12T23:00:00,2025-03-13T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.05,2025-03-13T23:00:00,2025-03-14T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.69,2025-03-13T23:00:00,2025-03-14T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.53,2025-03-14T23:00:00,2025-03-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,0.79,2025-03-14T23:00:00,2025-03-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.73,2025-03-15T23:00:00,2025-03-16T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.36,2025-03-15T23:00:00,2025-03-16T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.4,2025-03-16T23:00:00,2025-03-17T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,5.69,2025-03-16T23:00:00,2025-03-17T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.95,2025-03-23T23:00:00,2025-03-24T03:00:00,,
