registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.97,2023-11-06T07:00:00,2023-11-06T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,13.68,2023-11-06T07:00:00,2023-11-06T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.09,2023-11-06T11:00:00,2023-11-06T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.56,2023-11-06T11:00:00,2023-11-06T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.68,2023-11-06T15:00:00,2023-11-06T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,18.37,2023-11-06T15:00:00,2023-11-06T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.46,2023-11-06T19:00:00,2023-11-06T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.17,2023-11-06T19:00:00,2023-11-06T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-1.16,2023-11-06T23:00:00,2023-11-07T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8.93,2023-11-06T23:00:00,2023-11-07T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,1.24,2023-11-07T03:00:00,2023-11-07T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8.79,2023-11-07T03:00:00,2023-11-07T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3,2023-11-07T07:00:00,2023-11-07T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,13.08,2023-11-07T07:00:00,2023-11-07T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-2.56,2023-11-07T11:00:00,2023-11-07T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.72,2023-11-07T11:00:00,2023-11-07T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,0.33,2023-11-07T15:00:00,2023-11-07T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,19,2023-11-07T15:00:00,2023-11-07T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.27,2023-11-07T19:00:00,2023-11-07T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.39,2023-11-07T19:00:00,2023-11-07T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-0.09,2023-11-07T23:00:00,2023-11-08T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8.9,2023-11-07T23:00:00,2023-11-08T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,24,2.01,2023-11-08T03:00:00,2023-11-08T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8.11,2023-11-08T03:00:00,2023-11-08T07:00:00,,
