registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.18,2025-02-10T03:00:00,2025-02-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.25,2025-02-10T11:00:00,2025-02-10T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.88,2025-02-10T03:00:00,2025-02-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.5,2025-02-10T19:00:00,2025-02-10T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.58,2025-02-10T11:00:00,2025-02-10T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4,2025-02-09T23:00:00,2025-02-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.58,2025-02-10T07:00:00,2025-02-10T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.5,2025-02-09T23:00:00,2025-02-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.43,2025-02-10T19:00:00,2025-02-10T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5,2025-02-11T11:00:00,2025-02-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.58,2025-02-11T07:00:00,2025-02-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.1,2025-02-10T23:00:00,2025-02-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.98,2025-02-11T07:00:00,2025-02-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,6.76,2025-02-11T15:00:00,2025-02-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.6,2025-02-11T03:00:00,2025-02-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.74,2025-02-11T11:00:00,2025-02-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.2,2025-02-11T03:00:00,2025-02-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.96,2025-02-11T19:00:00,2025-02-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.96,2025-02-10T23:00:00,2025-02-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.11,2025-02-11T19:00:00,2025-02-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,9,2025-02-11T15:00:00,2025-02-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.41,2025-02-15T19:00:00,2025-02-15T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.75,2025-02-15T07:00:00,2025-02-15T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.03,2025-02-15T15:00:00,2025-02-15T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.97,2025-02-15T03:00:00,2025-02-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.1,2025-02-15T15:00:00,2025-02-15T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.04,2025-02-15T03:00:00,2025-02-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.25,2025-02-15T11:00:00,2025-02-15T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.85,2025-02-14T23:00:00,2025-02-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.8,2025-02-15T11:00:00,2025-02-15T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.95,2025-02-14T23:00:00,2025-02-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.71,2025-02-15T19:00:00,2025-02-15T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.29,2025-02-15T07:00:00,2025-02-15T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-02-16T19:00:00,2025-02-16T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.5,2025-02-16T07:00:00,2025-02-16T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.41,2025-02-16T19:00:00,2025-02-16T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5,2025-02-16T07:00:00,2025-02-16T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.75,2025-02-16T15:00:00,2025-02-16T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.5,2025-02-16T03:00:00,2025-02-16T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.09,2025-02-16T15:00:00,2025-02-16T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.38,2025-02-16T03:00:00,2025-02-16T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.45,2025-02-16T11:00:00,2025-02-16T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.64,2025-02-15T23:00:00,2025-02-16T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-02-16T11:00:00,2025-02-16T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.96,2025-02-15T23:00:00,2025-02-16T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,8.53,2025-02-22T23:00:00,2025-02-23T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.5,2025-02-23T07:00:00,2025-02-23T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.09,2025-02-23T03:00:00,2025-02-23T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,8.58,2025-02-23T15:00:00,2025-02-23T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.4,2025-02-23T11:00:00,2025-02-23T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.82,2025-02-23T19:00:00,2025-02-23T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.25,2025-02-22T23:00:00,2025-02-23T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.5,2025-02-23T03:00:00,2025-02-23T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.19,2025-02-23T11:00:00,2025-02-23T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.35,2025-02-23T07:00:00,2025-02-23T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.69,2025-02-23T15:00:00,2025-02-23T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.84,2025-02-23T19:00:00,2025-02-23T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.78,2025-03-01T19:00:00,2025-03-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.25,2025-02-28T23:00:00,2025-03-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-03-01T19:00:00,2025-03-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4,2025-03-01T07:00:00,2025-03-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-02-28T23:00:00,2025-03-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,7.15,2025-03-01T15:00:00,2025-03-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1,2025-03-01T07:00:00,2025-03-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.9,2025-03-01T15:00:00,2025-03-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.67,2025-03-01T03:00:00,2025-03-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.5,2025-03-01T11:00:00,2025-03-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.44,2025-03-01T03:00:00,2025-03-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.14,2025-03-01T11:00:00,2025-03-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.54,2025-03-02T19:00:00,2025-03-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.7,2025-03-02T11:00:00,2025-03-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.1,2025-03-02T19:00:00,2025-03-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.29,2025-03-02T07:00:00,2025-03-02T11:00:00,,
