registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery quantity (MW) ,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,7.14,2025-01-24T03:00:00,2025-01-24T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.54,2025-01-24T11:00:00,2025-01-24T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.53,2025-01-24T19:00:00,2025-01-24T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2,2025-01-23T23:00:00,2025-01-24T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.5,2025-01-24T23:00:00,2025-01-25T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.29,2025-02-03T07:00:00,2025-02-03T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.5,2025-02-03T15:00:00,2025-02-03T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.9,2025-02-03T19:00:00,2025-02-03T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4,2025-02-03T23:00:00,2025-02-04T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.52,2025-02-04T07:00:00,2025-02-04T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.45,2025-02-20T19:00:00,2025-02-20T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.39,2025-02-21T19:00:00,2025-02-21T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.82,2025-02-23T19:00:00,2025-02-23T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.25,2025-02-22T23:00:00,2025-02-23T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.69,2025-02-23T15:00:00,2025-02-23T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.89,2025-03-04T19:00:00,2025-03-04T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.44,2025-03-05T19:00:00,2025-03-05T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.1,2025-03-04T23:00:00,2025-03-05T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,0.96,2025-03-05T07:00:00,2025-03-05T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.42,2025-03-05T15:00:00,2025-03-05T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.75,2025-03-05T03:00:00,2025-03-05T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,8.69,2025-03-27T19:00:00,2025-03-27T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.69,2025-03-27T15:00:00,2025-03-27T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,9.69,2025-03-27T11:00:00,2025-03-27T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.89,2025-03-27T07:00:00,2025-03-27T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.85,2025-03-27T03:00:00,2025-03-27T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,49,5.7,2024-12-20T03:00:00,2024-12-20T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,49,5.69,2025-02-03T03:00:00,2025-02-03T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,49,4.75,2025-02-03T11:00:00,2025-02-03T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,49,2.05,2025-02-02T23:00:00,2025-02-03T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,49,3.47,2025-02-19T19:00:00,2025-02-19T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.2,2023-12-24T19:00:00,2023-12-24T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.69,2023-12-25T23:00:00,2023-12-26T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1,2023-12-26T03:00:00,2023-12-26T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.33,2023-12-26T11:00:00,2023-12-26T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.16,2023-12-26T07:00:00,2023-12-26T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,4,2023-12-26T15:00:00,2023-12-26T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.49,2023-12-26T19:00:00,2023-12-26T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.6,2023-12-27T19:00:00,2023-12-27T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1,2023-12-26T23:00:00,2023-12-27T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.59,2023-12-25T03:00:00,2023-12-25T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.49,2023-12-24T23:00:00,2023-12-25T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.98,2023-12-25T07:00:00,2023-12-25T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.85,2023-12-25T19:00:00,2023-12-25T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.08,2023-12-29T07:00:00,2023-12-29T11:00:00,,
