registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity(MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,1.8,2024-12-14T23:00:00,2024-12-15T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,3.25,2024-12-14T23:00:00,2024-12-15T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,9.1,2024-12-15T03:00:00,2024-12-15T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,1.69,2024-12-15T03:00:00,2024-12-15T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,2.62,2024-12-15T07:00:00,2024-12-15T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,3.99,2024-12-15T07:00:00,2024-12-15T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,2.5,2024-12-15T11:00:00,2024-12-15T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,2.19,2024-12-15T11:00:00,2024-12-15T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,8.51,2024-12-15T15:00:00,2024-12-15T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,4.16,2024-12-15T15:00:00,2024-12-15T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,3.89,2024-12-16T03:00:00,2024-12-16T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,6,2024-12-16T07:00:00,2024-12-16T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,5.86,2024-12-16T07:00:00,2024-12-16T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCH,18,5.69,2024-12-16T11:00:00,2024-12-16T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,2,2024-12-16T11:00:00,2024-12-16T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-04,Response,DCL,18,6.6,2024-12-16T15:00:00,2024-12-16T19:00:00,,
