Day,IDM_profit,DC_profit
1,486.72,251.7
2,442.63,166.5
3,525.75,139.9
4,321.08,139.5
5,454.65,127.5
6,253.66,118.8
7,286.85,139.8
8,245.01,234.3
9,458.52,262.9
10,325.79,180.7
11,351.12,157.8
12,291.91,117.9
13,261.27,85.7
14,1449.58,98.3
15,554.02,210.6
16,349.85,177.1
17,1777.21,241.7
18,605.31,232.1
19,309.88,109.4
20,340.14,107.1
21,261.99,145.9
22,215.19,302.8
23,221.8,199.1
24,1771.72,160.5
25,871.1,133.5
26,345.63,180.6
27,309.91,135.8
28,205.48,136.7
29,428.53,178.5
30,213.47,168.6
31,426.25,127.2
32,351.56,133.5
33,246.48,123.2
34,206.54,153.2
35,181.08,166.3
36,178.12,186.8
37,490.9,161.0
38,248.01,203.8
39,220.99,138.3
40,262.08,150.0
41,187.2,131.0
42,179.31,120.4
43,190.41,149.7
44,255.65,150.4
45,224.48,130.8
46,221.77,121.6
47,249.23,117.6
48,389.59,110.5
49,272.63,134.5
50,358.18,152.6
51,456.89,144.7
52,524.1,158.6
53,300.39,163.6
54,208.29,163.4
55,213.47,112.7
56,512.68,107.2
57,346.16,172.8
58,364.45,139.7
59,356.99,168.7
60,406.01,162.9
61,296.46,246.6
62,549.93,144.7
63,666.59,144.3
64,381.58,173.2
65,716.91,150.3
66,378.39,228.4
67,789.08,192.1
68,607.0,204.8
69,476.95,177.9
70,429.78,164.6
71,396.61,215.4
72,553.14,441.5
73,467.38,241.6
74,404.45,228.6
75,372.03,136.9
76,353.93,163.9
77,259.74,177.5
78,288.19,302.7
79,358.02,210.0
80,296.49,329.2
81,285.07,262.3
82,321.27,253.5
83,328.29,263.9
84,336.12,195.8
85,247.48,301.2
86,246.79,288.7
87,223.27,272.5
88,186.58,194.3
89,243.11,215.9
90,275.18,216.4
91,263.02,163.3
92,266.23,253.8
93,314.12,159.4
94,238.9,358.0
95,233.63,366.7
96,287.63,435.6
97,231.78,239.2
98,209.2,348.3
99,197.53,336.4
100,232.0,271.5
101,210.13,351.0
102,218.93,360.7
103,205.23,293.6
104,196.0,437.7
105,296.77,439.0
106,328.32,283.1
107,299.83,362.3
108,199.27,480.6
109,199.37,286.6
110,183.21,251.7
111,179.21,276.6
112,252.84,268.1
113,164.8,230.3
114,193.13,205.0
115,258.4,196.1
116,309.25,143.6
117,320.39,232.6
118,256.87,343.8
119,178.78,316.9
120,235.4,169.5
121,289.91,234.1
122,348.97,175.5
123,286.32,180.5
124,266.54,159.4
125,260.55,161.8
126,234.41,185.8
127,285.11,183.3
128,292.16,175.7
129,201.55,177.1
130,167.17,234.6
131,130.17,328.4
132,215.84,276.7
133,328.16,284.3
134,237.81,188.7
135,274.68,191.0
136,158.18,163.6
137,144.3,218.2
138,170.51,161.7
139,147.54,175.7
