Day,IDM_profit,DC_profit
140,211.35,184.2
141,211.32,165.6
142,209.29,288.2
143,194.84,202.0
144,150.63,179.5
145,165.14,218.4
146,169.01,185.2
147,186.51,165.3
148,169.32,205.9
149,217.99,322.8
150,190.69,290.4
151,194.03,225.6
152,163.92,303.7
153,174.31,219.7
154,169.73,453.7
155,135.44,477.7
156,161.18,239.9
157,185.14,342.1
158,152.47,385.7
159,162.12,341.8
160,119.5,350.4
161,292.5,221.5
162,226.45,146.1
163,208.01,247.6
164,205.14,281.0
165,219.9,280.1
166,245.08,274.8
167,240.27,379.7
168,221.89,338.6
169,212.85,235.1
170,295.62,191.6
171,396.21,225.3
172,408.56,196.1
173,488.53,186.4
174,262.74,195.8
175,207.36,175.3
176,184.11,180.6
177,241.55,330.8
178,174.63,356.3
179,447.16,171.3
180,483.01,189.9
181,301.02,207.4
182,221.68,190.4
183,322.48,191.7
184,299.58,328.2
185,442.48,209.3
186,238.87,257.4
187,325.88,181.2
188,357.58,139.3
189,331.91,175.5
190,421.42,198.2
191,365.82,173.0
192,461.88,122.8
193,486.47,161.9
194,392.9,174.7
195,389.1,124.1
196,378.39,171.3
197,414.74,157.1
198,879.18,146.5
199,774.66,180.3
200,529.81,122.7
201,799.78,152.7
202,549.37,179.7
203,246.67,170.3
204,345.2,209.8
205,392.03,145.6
206,361.48,136.5
207,403.73,127.7
208,460.95,137.7
209,388.56,189.3
210,297.71,172.9
211,382.54,149.0
212,405.54,135.5
213,309.47,179.1
214,426.5,165.3
215,429.72,200.3
216,379.61,178.2
217,401.79,213.2
218,422.42,241.2
219,472.37,192.8
220,434.62,319.3
221,441.54,229.2
222,438.8,153.3
223,447.78,202.4
224,384.73,209.1
225,397.33,173.1
226,423.66,276.9
227,520.1,229.5
228,687.43,208.7
229,724.43,244.7
230,622.22,206.3
231,382.98,361.1
232,535.14,387.3
233,740.56,370.5
234,853.57,364.3
235,1030.97,330.3
236,710.64,329.1
237,779.59,237.5
238,473.05,236.2
239,603.84,175.2
240,719.07,227.1
241,827.33,165.5
242,695.17,236.2
243,735.45,219.9
244,667.65,165.6
245,483.48,174.8
246,402.92,159.6
247,563.53,203.5
248,622.69,225.9
249,673.48,135.6
250,753.67,173.5
251,619.66,195.0
252,501.66,336.5
253,481.54,291.9
254,549.59,171.2
255,551.74,169.5
256,539.88,249.2
257,429.72,146.2
258,386.29,146.8
259,412.59,154.0
260,437.83,185.8
261,515.46,224.2
262,720.63,180.7
263,479.08,147.4
264,529.03,127.1
265,502.2,158.1
266,359.58,173.2
267,309.0,225.3
268,551.3,258.7
269,464.79,355.7
270,429.41,207.0
271,682.5,290.5
272,308.04,282.8
273,441.23,288.2
274,609.43,189.3
275,410.03,198.6
276,375.74,225.1
277,365.94,305.1
278,336.59,235.9
279,441.79,246.4
280,450.96,252.1
281,527.06,292.3
282,436.55,280.0
283,436.27,242.4
284,364.82,286.3
285,397.33,227.1
286,324.17,330.4
287,251.32,285.1
288,408.35,251.9
289,468.09,238.6
290,400.76,265.3
291,215.62,203.8
292,272.53,382.1
293,184.8,330.3
294,209.88,298.2
295,155.31,349.8
296,198.9,334.2
297,209.38,459.0
298,166.55,258.4
299,163.68,286.1
300,129.48,279.3
301,116.63,509.3
302,180.12,335.6
303,186.83,248.8
304,175.44,179.7
305,265.67,177.9
306,251.04,472.5
307,161.55,583.5
308,210.72,568.6
309,283.36,232.9
310,253.84,166.3
311,274.62,175.8
312,258.18,155.4
313,335.12,248.3
314,221.64,413.5
315,218.4,293.9
316,341.02,200.0
317,284.2,166.5
318,252.78,217.4
319,236.65,254.5
320,284.2,231.1
321,289.94,239.6
322,401.73,395.3
323,284.42,328.5
324,522.76,290.5
325,271.13,266.2
326,247.51,413.5
327,224.83,364.4
328,139.34,349.7
329,315.24,232.8
330,1542.43,272.9
331,2442.71,209.2
332,1126.13,196.0
333,703.06,305.2
334,414.21,261.5
335,278.68,302.3
336,299.21,618.0
337,403.76,695.8
338,368.5,435.7
339,446.75,549.7
340,647.93,542.3
341,716.6,508.3
342,525.66,514.3
343,609.52,1090.5
344,4827.83,1303.6
345,1806.95,593.7
346,890.29,453.7
347,697.69,461.6
348,620.94,599.3
349,350.41,599.2
350,235.93,443.0
351,413.65,357.8
352,478.48,378.3
353,309.97,349.4
354,400.58,412.9
355,176.56,350.8
356,314.53,308.7
357,351.34,372.8
358,400.02,239.8
359,320.92,252.5
360,346.69,244.2
361,426.25,422.0
362,392.15,356.0
363,487.94,467.7
