Day,IDM_profit,DC_profit
1,590.83,251.7
2,400.42,166.5
3,241.05,139.9
4,395.3,139.5
5,312.66,127.5
6,315.74,118.8
7,263.55,139.8
8,436.3,234.3
9,355.06,262.9
10,250.19,180.7
11,379.2,157.8
12,351.56,117.9
13,420.42,85.7
14,390.56,98.3
15,555.55,210.6
16,326.82,177.1
17,229.85,241.7
18,171.29,232.1
19,191.88,109.4
20,190.32,107.1
21,144.08,145.9
22,244.51,302.8
23,316.74,199.1
24,253.44,160.5
25,183.52,133.5
26,167.61,180.6
27,184.02,135.8
28,182.93,136.7
29,119.62,178.5
30,348.72,168.6
31,260.4,127.2
32,265.89,133.5
33,206.17,123.2
34,248.85,153.2
35,148.17,166.3
36,230.22,186.8
37,217.65,161.0
38,293.16,203.8
39,162.3,138.3
40,160.24,150.0
41,160.21,131.0
42,148.32,120.4
43,158.59,149.7
44,176.44,150.4
45,165.14,130.8
46,157.59,121.6
47,141.49,117.6
48,263.83,110.5
49,246.07,134.5
50,187.36,152.6
51,237.28,144.7
52,166.8,158.6
53,127.05,163.6
54,132.19,163.4
55,123.15,112.7
56,138.75,107.2
57,163.24,172.8
58,174.94,139.7
59,154.91,168.7
60,163.05,162.9
61,164.36,246.6
62,157.28,144.7
63,138.22,144.3
64,168.2,173.2
65,149.98,150.3
66,206.33,228.4
67,175.13,192.1
68,130.01,204.8
69,148.89,177.9
70,135.0,164.6
71,218.31,215.4
72,334.74,441.5
73,352.97,241.6
74,207.73,228.6
75,180.87,136.9
76,144.33,163.9
77,129.64,177.5
78,188.48,302.7
79,184.83,210.0
80,140.31,329.2
81,209.82,262.3
82,242.33,253.5
83,249.76,263.9
84,340.8,195.8
85,153.19,254.1
86,126.7,288.7
87,129.01,272.5
88,164.39,194.3
89,129.42,215.9
90,127.95,216.4
91,159.06,163.3
92,161.21,253.8
93,160.87,159.4
94,160.15,358.0
95,123.86,366.7
96,129.51,435.6
97,136.25,239.2
98,140.15,348.3
99,157.62,336.4
100,238.43,271.5
101,223.08,351.0
102,229.82,360.7
103,133.19,293.6
104,99.34,437.7
105,113.91,439.0
106,139.28,283.1
107,128.08,362.3
108,122.27,480.6
109,126.14,286.6
110,137.56,251.7
111,114.88,276.6
112,105.3,268.1
113,125.42,230.3
114,136.59,205.0
115,148.08,196.1
116,110.95,143.6
117,101.06,232.6
118,109.48,343.8
119,104.89,316.9
120,95.91,169.5
121,121.15,234.1
122,96.69,175.5
123,124.71,180.5
124,108.08,159.4
125,92.29,161.8
126,91.04,185.8
127,88.55,183.3
128,78.81,175.7
129,108.26,177.1
130,102.87,234.6
131,93.57,328.4
132,93.66,276.7
133,107.17,284.3
134,93.91,188.7
135,103.46,191.0
136,108.58,163.6
137,106.08,218.2
138,93.79,161.7
139,94.6,175.7
140,80.4,184.2
141,85.43,165.6
142,100.87,288.2
143,98.87,202.0
144,98.75,179.5
145,87.86,218.4
146,143.21,185.2
147,171.57,165.3
148,180.43,205.9
149,119.25,322.8
150,99.0,290.4
151,102.87,225.6
152,105.39,303.7
153,128.92,219.7
154,121.77,453.7
155,119.59,477.7
156,108.14,239.9
157,101.52,342.1
158,88.98,385.7
159,95.28,341.8
160,157.87,350.4
161,113.26,221.5
162,92.85,146.1
163,98.78,247.6
164,109.11,281.0
165,135.91,280.1
166,145.83,274.8
167,125.21,379.7
168,120.62,338.6
169,152.44,235.1
170,172.54,191.6
171,179.37,225.3
172,170.41,196.1
173,140.56,186.4
174,146.67,195.8
175,230.66,175.3
176,139.56,180.6
177,114.85,330.8
178,122.02,356.3
179,130.04,171.3
180,91.01,189.9
181,179.59,207.4
182,335.59,190.4
183,236.9,191.7
184,190.29,328.2
185,143.58,209.3
186,121.65,257.4
187,123.71,181.2
188,165.17,139.3
189,141.46,175.5
190,134.32,198.2
191,137.72,173.0
192,129.07,122.8
193,135.44,161.9
194,74.57,174.7
195,164.61,124.1
196,301.58,171.3
197,188.14,157.1
