Day,IDM_profit,DC_profit
198,178.81,146.5
199,153.5,180.3
200,145.42,122.7
201,114.44,152.7
202,98.62,179.7
203,189.13,170.3
204,121.87,209.8
205,111.29,145.6
206,108.39,136.5
207,110.67,127.7
208,91.51,137.7
209,147.2,189.3
210,163.08,172.9
211,135.69,149.0
212,141.8,135.5
213,90.51,179.1
214,120.34,165.3
215,122.58,200.3
216,91.07,178.2
217,118.37,213.2
218,115.94,241.2
219,111.51,192.8
220,150.98,319.3
221,119.56,229.2
222,126.83,153.3
223,172.19,202.4
224,161.93,209.1
225,126.05,173.1
226,125.46,276.9
227,126.39,229.5
228,104.83,208.7
229,95.47,244.7
230,190.07,206.3
231,145.8,361.1
232,138.53,387.3
233,155.56,370.5
234,210.66,364.3
235,269.94,330.3
236,181.52,329.1
237,134.63,237.5
238,120.46,236.2
239,126.83,175.2
240,139.74,227.1
241,144.02,165.5
242,127.45,236.2
243,112.79,219.9
244,107.76,165.6
245,162.83,174.8
246,137.81,159.6
247,137.97,203.5
248,170.01,225.9
249,169.01,135.6
250,208.7,173.5
251,171.91,195.0
252,151.07,336.5
253,208.79,291.9
254,200.52,171.2
255,150.1,169.5
256,168.64,249.2
257,141.8,146.2
258,108.79,146.8
259,107.67,154.0
260,173.07,185.8
261,222.92,224.2
262,279.55,180.7
263,214.84,147.4
264,149.48,127.1
265,131.63,158.1
266,249.07,173.2
267,289.1,225.3
268,189.17,258.7
269,141.68,355.7
270,264.89,207.0
271,263.14,290.5
272,149.42,282.8
273,214.81,288.2
274,196.0,189.3
275,228.04,198.6
276,224.11,225.1
277,184.49,305.1
278,227.45,235.9
279,207.29,246.4
280,157.62,252.1
281,254.03,292.3
282,146.3,280.0
283,276.78,242.4
284,273.53,286.3
285,167.58,227.1
286,322.05,330.4
287,387.35,285.1
288,354.62,251.9
289,188.48,238.6
290,276.9,265.3
291,318.55,203.8
292,299.68,382.1
293,327.29,330.3
294,322.64,298.2
295,183.99,349.8
296,185.45,334.2
297,171.97,459.0
298,148.04,258.4
299,126.77,286.1
300,178.28,279.3
301,349.25,367.6
302,219.59,335.6
303,251.22,248.8
304,269.94,179.7
305,248.94,177.9
306,146.98,472.5
307,163.05,583.5
308,153.72,568.6
309,178.25,232.9
310,178.74,166.3
311,161.62,175.8
312,124.08,155.4
313,145.61,248.3
314,136.91,413.5
315,137.78,293.9
316,201.52,200.0
317,178.37,166.5
318,297.55,217.4
319,239.46,254.5
320,126.64,231.1
321,275.06,239.6
322,194.03,395.3
323,160.59,328.5
324,98.53,290.5
325,193.56,266.2
326,297.9,413.5
327,178.15,364.4
328,161.24,349.7
329,118.56,232.8
330,146.98,272.9
331,247.2,209.2
332,331.5,196.0
333,378.27,305.2
334,258.74,261.5
335,196.19,302.3
336,151.82,618.0
337,147.2,695.8
338,180.34,435.7
339,116.34,549.7
340,90.45,542.3
341,117.34,508.3
342,222.39,514.3
343,213.47,1090.5
344,129.04,1303.6
345,97.13,593.7
346,94.47,453.7
347,78.25,461.6
348,90.76,599.3
349,157.81,599.2
350,132.91,443.0
351,94.54,357.8
352,131.73,378.3
353,194.53,349.4
354,216.5,412.9
355,171.88,350.8
356,134.97,308.7
357,183.18,372.8
358,238.87,239.8
359,142.3,252.5
360,200.18,244.2
361,224.98,422.0
362,149.39,356.0
363,214.56,467.7
